0_URL	1_doc_gender	2_doc_sent	3_female_sent	4_male_sent	5_0_HEAR	6_0_POWER	7_0_COMPARE	8_0_ANX	9_0_ARTICLE	10_0_PPRON	11_0_FUNCTION	12_0_SOCIAL	13_0_SPACE	14_0_FAMILY	15_0_I	16_0_AFFECT	17_0_NUMBER	18_0_ASSENT	19_0_COGPROC	20_0_DISCREP	21_0_SHEHE	22_0_FOCUSPAST	23_0_TIME	24_0_SWEAR	25_0_AUXVERB	26_0_AFFILIATION	27_0_ANGER	28_0_RELATIV	29_0_FILLER	30_0_DEATH	31_0_MOTION	32_0_NETSPEAK	33_0_VERB	34_0_YOU	35_0_PREP	36_0_HEALTH	37_0_BIO	38_0_PRONOUN	39_0_CERTAIN	40_0_FEEL	41_0_TENTAT	42_0_LEISURE	43_0_ADVERB	44_0_FOCUSPRESENT	45_0_REWARD	46_0_INSIGHT	47_0_DIFFER	48_0_CONJ	49_0_MONEY	50_0_FRIEND	51_0_THEY	52_0_WORK	53_0_FOCUSFUTURE	54_0_RELIG	55_0_ADJ	56_0_NONFLU	57_0_SEXUAL	58_0_IPRON	59_0_INTERROG	60_0_ACHIEV	61_0_INFORMAL	62_0_HOME	63_0_INGEST	64_0_MALE	65_0_FEMALE	66_0_CAUSE	67_0_BODY	68_0_DRIVES	69_0_SAD	70_0_NEGEMO	71_0_RISK	72_0_WE	73_0_PERCEPT	74_0_POSEMO	75_0_QUANT	76_0_SEE	77_0_NEGATE	78_1_HEAR	79_1_POWER	80_1_COMPARE	81_1_ANX	82_1_ARTICLE	83_1_PPRON	84_1_FUNCTION	85_1_SOCIAL	86_1_SPACE	87_1_FAMILY	88_1_I	89_1_AFFECT	90_1_NUMBER	91_1_ASSENT	92_1_COGPROC	93_1_DISCREP	94_1_SHEHE	95_1_FOCUSPAST	96_1_TIME	97_1_SWEAR	98_1_AUXVERB	99_1_AFFILIATION	100_1_ANGER	101_1_RELATIV	102_1_FILLER	103_1_DEATH	104_1_MOTION	105_1_NETSPEAK	106_1_VERB	107_1_YOU	108_1_PREP	109_1_HEALTH	110_1_BIO	111_1_PRONOUN	112_1_CERTAIN	113_1_FEEL	114_1_TENTAT	115_1_LEISURE	116_1_ADVERB	117_1_FOCUSPRESENT	118_1_REWARD	119_1_INSIGHT	120_1_DIFFER	121_1_CONJ	122_1_MONEY	123_1_FRIEND	124_1_THEY	125_1_WORK	126_1_FOCUSFUTURE	127_1_RELIG	128_1_ADJ	129_1_NONFLU	130_1_SEXUAL	131_1_IPRON	132_1_INTERROG	133_1_ACHIEV	134_1_INFORMAL	135_1_HOME	136_1_INGEST	137_1_MALE	138_1_FEMALE	139_1_CAUSE	140_1_BODY	141_1_DRIVES	142_1_SAD	143_1_NEGEMO	144_1_RISK	145_1_WE	146_1_PERCEPT	147_1_POSEMO	148_1_QUANT	149_1_SEE	150_1_NEGATE	151_2_HEAR	152_2_POWER	153_2_COMPARE	154_2_ANX	155_2_ARTICLE	156_2_PPRON	157_2_FUNCTION	158_2_SOCIAL	159_2_SPACE	160_2_FAMILY	161_2_I	162_2_AFFECT	163_2_NUMBER	164_2_ASSENT	165_2_COGPROC	166_2_DISCREP	167_2_SHEHE	168_2_FOCUSPAST	169_2_TIME	170_2_SWEAR	171_2_AUXVERB	172_2_AFFILIATION	173_2_ANGER	174_2_RELATIV	175_2_FILLER	176_2_DEATH	177_2_MOTION	178_2_NETSPEAK	179_2_VERB	180_2_YOU	181_2_PREP	182_2_HEALTH	183_2_BIO	184_2_PRONOUN	185_2_CERTAIN	186_2_FEEL	187_2_TENTAT	188_2_LEISURE	189_2_ADVERB	190_2_FOCUSPRESENT	191_2_REWARD	192_2_INSIGHT	193_2_DIFFER	194_2_CONJ	195_2_MONEY	196_2_FRIEND	197_2_THEY	198_2_WORK	199_2_FOCUSFUTURE	200_2_RELIG	201_2_ADJ	202_2_NONFLU	203_2_SEXUAL	204_2_IPRON	205_2_INTERROG	206_2_ACHIEV	207_2_INFORMAL	208_2_HOME	209_2_INGEST	210_2_MALE	211_2_FEMALE	212_2_CAUSE	213_2_BODY	214_2_DRIVES	215_2_SAD	216_2_NEGEMO	217_2_RISK	218_2_WE	219_2_PERCEPT	220_2_POSEMO	221_2_QUANT	222_2_SEE	223_2_NEGATE	
http://abcnews.go.com/politics/video/arizona-gov-jan-brewer-vetoes-religious-freedom-bill-22691424	Gender.NONE	0.9856	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	0	4	0	0	0	0	0	0	0	0	0	4	6	2	0	0	0	0	4	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	4	1	0	0	0	0	0	4	3	0	0	1	0	0	1	0	0	1	0	0	0	0	2	0	
http://abcnews.go.com/politics/video/11-questions-seth-rogan-22690742	Gender.NONE	0.9837	-0.12933333333333333	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	7	0	0	0	0	0	0	0	0	1	0	4	2	0	0	1	0	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	6	0	0	0	1	2	2	0	3	0	0	2	0	0	0	1	0	2	0	1	1	0	0	0	
http://abcnews.go.com/politics/video/attorney-general-takes-stand-gay-marriage-ban-22673600	Gender.NONE	0.3291	0.1591	0.26335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	4	0	0	1	0	0	0	1	0	0	0	1	2	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	2	0	0	0	2	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	
http://abcnews.go.com/politics/video/joe-biden-2016-havent-made-mind-22666513	Gender.MALE	0.9934	0.17556666666666665	0.04216666666666666	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	7	0	3	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	2	0	0	0	3	2	0	3	0	0	0	0	0	0	0	0	2	0	2	0	0	1	0	
http://abcnews.go.com/politics/republicans-historic-win-state-legislatures-vote-2010-election/story?id=12049040&page=1	Gender.NONE	0.9888	0.0	-0.4404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	25	4	5	0	0	0	0	0	0	0	0	3	0	9	7	0	0	1	0	16	0	0	0	0	1	0	1	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	4	14	0	0	1	7	14	0	2	1	0	1	0	0	0	7	0	5	0	7	0	0	9	0	
http://abcnews.go.com/politics/vote-2010-elections-tea-party-candidates-christine-odonnell-lose-delaware-win-early-states/story?id=12038236	Gender.NONE	0.9894	0.19083333333333327	0.03889999999999999	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	10	0	3	3	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	12	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	5	0	0	0	4	6	0	0	2	1	0	0	0	6	4	0	0	0	2	0	0	2	0	
http://abcnews.go.com/politics/republicans-win-control-house-abc-news-projects-vote-2010-election-results/story?id=12035796	Gender.NONE	0.9626	0.22341999999999995	0.08959999999999999	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	3	13	0	5	1	1	0	0	0	0	0	0	1	1	4	5	0	0	0	0	10	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	1	1	3	6	0	0	0	3	6	0	2	0	1	1	0	0	1	3	0	2	0	3	1	0	6	0	
http://abcnews.go.com/politics/healthcare	Gender.NONE	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
http://abcnews.go.com/wn/politics/house-speaker-nancy-pelosis-exclusive-interview-diane-sawyer/story?id=10172685&page=1	Gender.FEMALE	0.9936	0.06495	0.01090000000000002	0	2	0	2	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	2	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	4	0	3	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	2	2	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	
http://abcnews.go.com/politics/charles-rangel-democrat-pleads-expedited-ethics-trial-chance/story?id=11367412	Gender.NONE	0.7956	0.25736000000000003	-0.13418947368421053	0	3	0	0	0	0	0	0	0	0	0	0	1	1	3	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	2	0	0	0	0	1	0	0	0	1	0	1	0	1	1	0	1	0	0	12	0	6	0	0	0	0	0	0	0	0	0	1	3	3	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	5	0	0	0	1	1	0	0	0	0	1	6	0	0	1	0	1	0	0	0	1	0	2	0	5	0	0	3	0	3	10	0	6	0	1	0	0	0	0	0	0	0	2	3	4	0	0	0	0	8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	6	0	0	0	1	3	0	1	1	0	0	0	0	0	3	0	1	0	0	0	0	1	0	
http://abcnews.go.com/politics/rep-maxine-waters-charged-ethics-violations/story?id=11307872	Gender.NONE	-0.9836	0.028081818181818187	0.0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	3	6	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	5	0	
http://abcnews.go.com/politics/vote-2010-elections-women-hold-national-political-office/story?id=11981883	Gender.NONE	0.8189	-0.4215	0.4939	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	6	0	0	0	0	0	0	0	0	0	3	8	4	0	0	1	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	5	3	0	0	1	5	9	0	2	1	0	0	0	0	0	4	0	4	0	5	0	0	1	0	
http://abcnews.go.com/politics/bp-oil-spill-gains-senate-energy-bill-dampen/story?id=10630206	Gender.NONE	0.9953	0.4588	-0.03368333333333332	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	4	2	0	0	2	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	29	1	8	0	0	0	0	0	0	0	0	0	1	5	6	0	2	1	0	19	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	3	0	0	0	1	5	13	0	0	1	3	30	0	0	4	0	1	0	0	0	20	0	3	0	10	0	0	6	0	
http://abcnews.go.com/politics/president-obama-recovery-summer-stimulus-projects-fail-yield/story?id=11463344	Gender.MALE	0.9959	0	0.28033333333333327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	4	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	1	1	3	0	0	0	0	4	0	1	0	2	1	0	0	0	1	0	2	0	3	0	0	2	0	0	18	0	6	0	0	0	0	0	0	0	0	1	0	5	8	0	0	0	0	8	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	5	0	0	3	0	0	1	0	3	6	0	0	0	8	12	0	0	2	0	0	0	0	1	7	0	4	0	5	0	0	7	0	
http://abcnews.go.com/politics/2010_elections/swamp-politics-florida-primary-highlights-salacious-side-politics/story?id=11464247	Gender.NONE	0.9965	0.09705000000000001	0.16131176470588238	0	2	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	12	0	2	0	0	0	0	0	0	0	0	1	1	2	5	0	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	4	0	0	0	0	7	1	1	0	0	1	0	0	1	3	0	0	0	4	0	0	2	0	0	11	0	3	0	1	1	0	0	0	0	0	2	0	7	6	0	0	0	0	3	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	1	2	0	0	0	4	4	0	0	1	0	0	0	0	0	2	0	5	0	2	1	0	1	0	
http://abcnews.go.com/politics/texas-voters-head-polls-primary-2018/story?id=53562737	Gender.NONE	0.9997	0.06165833333333332	0.16229615384615387	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	9	0	3	0	0	1	0	0	0	0	0	0	2	3	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	1	7	0	0	0	0	0	0	0	1	1	0	1	0	6	0	0	5	0	7	33	0	5	0	0	0	0	0	0	1	0	0	2	7	9	0	0	1	0	42	0	1	0	0	0	4	3	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	5	6	5	37	0	0	1	6	23	0	4	0	0	5	0	0	0	12	0	4	0	11	2	0	25	0	
http://abcnews.go.com/politics/omalley-democratic-party-regenerating-bad-forest-fire/story?id=51334901	Gender.NONE	0.9877	0	0.24856250000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	6	0	0	0	0	0	0	1	0	0	0	1	4	0	0	1	0	9	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	7	0	0	0	0	14	0	2	0	0	1	1	0	0	5	0	0	0	9	0	0	4	0	0	4	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	4	0	0	0	3	2	0	0	1	0	1	1	0	0	1	0	0	0	1	0	0	4	0	
http://abcnews.go.com/politics/congressional-democrats-roll-economic-agenda/story?id=48809219	Gender.NONE	0.936	0.5199	0.21700000000000005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	4	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	5	0	0	0	0	0	0	0	2	1	0	0	0	4	1	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	2	2	0	0	1	0	2	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	4	0	
http://abcnews.go.com/politics/key-moments-scotus-nominee-neil-gorsuchs-confirmation-hearing/story?id=46274870	Gender.NONE	-0.9621	0	-0.041816666666666676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	0	2	0	0	0	0	0	0	0	0	0	0	2	1	0	0	2	0	5	0	1	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	2	0	0	0	1	0	2	0	0	1	1	0	2	0	0	2	0	7	0	0	2	0	0	0	0	0	1	0	0	0	5	1	0	2	0	0	3	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	3	2	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	
http://abcnews.go.com/politics/trump-nominates-neil-gorsuch-supreme-court/story?id=45143260&cid=clicksource_4380645_1_hero_headlines_bsq_image	Gender.MALE	0.9785	0	0.1958933333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	1	0	0	0	0	3	0	2	1	0	1	0	0	0	0	0	0	0	3	0	0	2	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	
http://abcnews.go.com/politics/trump-supreme-court-adviser-praises-judge-neil-gorsuch/story?id=45049788	Gender.MALE	-0.2614	0	0.0013538461538461712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	2	0	0	0	0	0	0	0	0	0	1	6	1	0	0	2	0	5	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	1	2	0	0	2	1	3	0	0	0	0	1	0	0	0	1	0	3	0	2	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	
http://abcnews.go.com/politics/primary-contests-abound-key-pennsylvania-house-races/story?id=53889632	Gender.NONE	0.9972	0.0	0.23666428571428572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	3	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	9	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8	0	0	0	4	10	0	2	0	0	0	0	0	0	1	0	0	0	9	1	0	7	0	0	17	0	4	0	0	0	0	0	0	0	0	0	1	7	4	0	0	6	0	13	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	3	13	0	0	4	1	21	0	0	0	1	0	0	0	0	4	0	0	0	17	0	0	11	0	
http://abcnews.go.com/politics/democrats-path-house-majority-cuts-suburbs/story?id=54134040	Gender.NONE	0.9986	0.30065	0.32999999999999996	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	19	2	5	2	0	0	0	0	0	0	0	0	0	4	7	0	0	3	0	14	1	0	0	0	0	1	1	0	5	0	0	1	0	0	0	0	0	3	0	0	0	0	0	1	0	0	1	0	3	12	0	0	3	10	14	0	0	0	1	0	0	0	2	9	0	1	0	4	1	0	7	0	
